key,dev,en,zh-TW,zh-CN,zh,ar,de,fi,it,th,ru,sv,vi,fr,jp,da,no
Loading,Loading QuickPoll…,Loading QuickPoll…,載入投票系統中....,载入投票系统中....,載入投票系統中....,جار تحميل QuickPoll ...,Wird geladen...,QuickPollia ladataan…,Caricamento Sondaggio rapido in corso…,กำลังโหลดโพลล์ด่วน...,Загрузка QuickPoll…,Hämtar snabbundersökning…,Đang tải QuickPoll…,Chargement de QuikPoll en cours...,QuickPollを読み込み中…,Indlæser HurtigAfstemning…,Laster RaskAvstemming
Question,Question,Question,問題,问题,問題,سؤال,Frage,Kysymys,Domanda,คำถาม,Вопрос,Fråga,Câu hỏi,Question,質問,Spørgsmål,Spørsmål
Create,Create Poll,Create Poll,建立投票,创建投票,建立投票,إنشاء استطلاع رأي,Umfrage erstellen,Luo kysely,Crea un Poll,สร้างโพลล์,Создать опрос,Skapa undersökning,Tạo Cuộc Bỏ phiếu,Créer un sondage,投票を作成,Opret afstemning,Lag en avstemming
Option,Option,Option,選項,选项,選項,خيار,Auswahlmöglichkeit,Vaihtoehto,Opzione,ตัวเลือก,Параметр,Alternativ,Tùy chọn,Option,オプション,Valg,Alternativ
QuikPoll,QuikPoll,QuikPoll,Omlet投票,蛋宝投票,Omlet投票,QuikPoll,Quikpoll,QuikPoll,Sondaggio rapido,โพลล์ด่วน,QuikPoll,Snabbundersökning,QuickPoll,QuikPoll,QuikPoll,HurtigAfstemning,RaskAvstemming
Need_write_question,You need to write a question!,You need to write a question!,您忘了寫投票問題哦！,您忘了写投票问题哦！,您忘了寫投票問題哦！,تحتاج إلى كتابة سؤال!,Du musst eine Frage stellen!,Sinun täytyy kirjoittaa kysymys!,Devi scrivere una domanda!,เราจำเป็นต้องเขียนคำถาม!,Вы должны написать вопрос!,Du måste skriva en fråga! ,Bạn cần viết câu hỏi!,Vous devez rédiger une question !,質問を明記してください！,Du skal skrive et spørgsmål!,Du må skrive et spørsmål!
Need_write_option,You need to create some options!,You need to create some options!,您忘了輸入投票選項哦！,您忘了输入投票选项哦！,您忘了輸入投票選項哦！,تحتاج إلى إنشاء بعض الخيارات!,Du musst ein paar Möglichkeiten angeben!,Sinun täytyy luoda vaihtoehtoja!,Devi creare alcune opzioni!,คุณจำเป็นต้องสร้างตัวเลือกบางอย่าง!,Вы должны создать параметры!,Du måste skapa några alternativ!,Bạn cần tạo một vài tùy chọn!,Vous devez créer des options !,幾つかのオプションを作成しなければなりません！,Du skal give nogle mulige svar!,Du må lage noen alternativer!
Voter,voter,voter,投票者,投票者,投票者,الناخب,Abstimmende,äänestäjä,votanti,ผู้โหวต,голосующий,röstande,người bình chọn,votant,投票者,svargiver,stemmer
Response,response,response,回應,回应,回應,الاستجابة,Antwort,vastaus,responso,การตอบรับ,ответ,svar,trả lời,réponse,回答,svar,respons
Responses,responses,responses,回應,回应,回應,الاستجابات,Antworten,vastausta,responsi,การตอบรับ,ответы,svar,trả lời,réponses,回答,svar,responser
Poll results,Poll results,Poll results,投票結果,投票结果,投票結果,نتائج استطلاع الرأي,Umfrageresultate,Kyselyn tulokset,Risultati del sondaggio,ผลลัพธ์โพลล์,Результаты опроса,Undersökningsresultat,Kết quả bỏ phiếu,Résultats du vote,投票結果,Afstemningsresultater,Avstemmingsresultater
Share_vote,Share Your Vote,Share Your Vote,分享您的投票結果,分享您的投票结果,分享您的投票結果,مشاركة تصويتك,Teile deine Stimme,Jaa äänesi,Condividi il tuo voto,แชร์การโหวตของคุณ,Поделитесь вашим голосованием,Dela din röst,Chia sẻ Bình chọn của Bạn,Partagez votre vote,投票を共有,Del dit svar,Del Stemmen Din
You_vote,You voted for,You voted for,您投給,您投给,您投給,لقد صوت لأجل,Du hast gestimmt für,Olet äänestänyt vastausta,Hai votato per,คุณโหวตให้,Вы проголосовали за,Du röstade på,Bạn đã bình chọn cho,Vous avez voté pour,You voted for,Du svarede,Du stemte for
Poll_results,Poll results,Poll results,投票結果,投票结果,投票結果,نتائج استطلاع الرأي,Umfrageresultate,Kyselyn tulokset,Risultati del sondaggio,ผลลัพธ์โพลล์,Результаты опроса,Undersökningsresultat ,Kết quả bỏ phiếu,Résultats du vote,投票結果,Afstemningsresultater,Avstemmingsresultater
QuickPoll_response,QuikPoll Response,QuikPoll Response,Omlet投票回應,蛋宝投票回应,Omlet投票回應,استجابة QuikPoll,QuikPoll-Antwort,QuikPoll vastaus,Responso del Sondaggio rapido,การตอบรับจากโพลล์ด่วน,Ответ на QuikPoll,Snabbundersökningsrespons,Trả lời QuickPoll,Réponse QuikPoll,QuikPollの回答,Svar på HurtigAfstemning,RaskAvstemmingsrespons
I_vote,I voted for,I voted for,我投給,我投给,我投給,أنا صوت لأجل,Ich habe gestimmt für,Minä äänestin vastausta,Ho votato per,ฉันโหวตให้,Я проголосовал за,Jag röstade på,Tôi đã bình chọn cho,J'ai voté pour,I voted for,Jeg svarede,Jeg stemte for
Poll_response,Poll Response,Poll Response,Omlet投票結果,蛋宝投票结果,Omlet投票結果,استجابة استطلاع الرأي,Umfrageantwort,Kyselyn vastaus,Responso del sondaggio,การตอบรับจากโพลล์,Ответ на опрос,Undersökningsrespons,Trả lời Bình chọn,Réponse au vote,投票の回答,Svar på afstemning,Avstemmingsrespons